age,gender,marks_10,marks_12,entrance_score,preferred_course,admitted,recommended_course
20,Male,65.2,96.3,78.6,Business Administration,1,Electronics
20,Other,69.1,50.4,56.7,Biotechnology,1,Business Administration
17,Male,48.0,84.0,95.1,Computer Science,1,Computer Science
16,Other,61.4,73.3,54.6,Mechanical Engineering,1,Business Administration
21,Female,66.6,47.5,97.9,Business Administration,1,Business Administration
16,Other,78.4,65.7,98.7,Civil Engineering,1,Civil Engineering
19,Male,77.8,54.2,25.2,Electronics,0,Not Admitted
17,Other,75.4,65.8,21.3,Electronics,0,Not Admitted
21,Male,51.6,71.7,22.8,Electronics,0,Not Admitted
21,Female,54.8,85.8,54.0,Electronics,1,Business Administration
17,Female,55.0,97.4,82.0,Biotechnology,1,Computer Science
21,Other,95.0,84.3,46.1,Electronics,1,Business Administration
17,Other,47.4,62.6,51.1,Civil Engineering,1,Business Administration
20,Male,76.7,97.1,68.6,Civil Engineering,1,Electronics
16,Other,88.3,49.0,99.0,Mechanical Engineering,1,Business Administration
18,Male,55.7,83.4,83.2,Artificial Intelligence and Machine Learning,1,Computer Science
19,Female,64.4,51.3,89.0,Computer Science,1,Business Administration
18,Female,48.4,61.8,46.0,Mechanical Engineering,1,Business Administration
18,Male,75.3,65.7,97.7,Civil Engineering,1,Civil Engineering
16,Other,75.3,86.6,59.5,Business Administration,1,Electronics
16,Male,51.0,68.7,36.1,Electronics,0,Not Admitted
18,Male,94.0,58.5,52.8,Electronics,1,Business Administration
19,Female,95.9,77.3,75.6,Artificial Intelligence and Machine Learning,1,Electronics
19,Female,88.6,79.2,89.7,Biotechnology,1,Electronics
21,Male,74.1,88.6,91.7,Computer Science,1,Computer Science
16,Other,57.3,68.1,85.4,Business Administration,1,Business Administration
16,Other,53.9,73.8,58.8,Artificial Intelligence and Machine Learning,1,Business Administration
16,Male,63.2,95.9,45.9,Biotechnology,1,Business Administration
17,Other,97.5,97.0,40.1,Computer Science,0,Not Admitted
17,Female,53.0,98.9,41.3,Electronics,0,Not Admitted
18,Female,47.8,60.0,92.7,Artificial Intelligence and Machine Learning,0,Not Admitted
19,Other,73.7,69.2,64.2,Mechanical Engineering,1,Civil Engineering
20,Female,65.0,58.1,84.3,Biotechnology,1,Business Administration
16,Other,66.5,89.1,83.9,Biotechnology,1,Computer Science
19,Other,82.6,91.4,46.1,Artificial Intelligence and Machine Learning,1,Business Administration
19,Male,72.7,57.2,71.6,Computer Science,1,Business Administration
18,Male,66.5,73.0,87.0,Computer Science,1,Mechanical Engineering
19,Female,56.3,74.2,75.7,Computer Science,1,Mechanical Engineering
21,Male,72.9,59.1,99.7,Civil Engineering,1,Business Administration
18,Other,92.7,55.2,42.3,Electronics,0,Not Admitted
18,Male,92.9,87.1,71.4,Electronics,1,Electronics
21,Male,93.5,77.7,20.7,Mechanical Engineering,0,Not Admitted
17,Female,97.6,60.3,44.4,Mechanical Engineering,0,Not Admitted
16,Female,80.2,57.1,77.0,Civil Engineering,1,Business Administration
18,Male,54.7,64.8,79.5,Computer Science,1,Business Administration
21,Female,74.3,72.5,70.9,Biotechnology,1,Mechanical Engineering
18,Other,97.5,66.2,91.4,Artificial Intelligence and Machine Learning,1,Civil Engineering
16,Male,63.9,79.8,73.5,Electronics,1,Electronics
16,Male,84.0,60.2,21.9,Electronics,0,Not Admitted
18,Male,95.8,96.5,93.2,Civil Engineering,1,Computer Science
18,Male,95.1,68.1,97.3,Electronics,1,Civil Engineering
18,Female,60.9,65.8,88.1,Computer Science,1,Business Administration
21,Female,66.3,90.6,94.4,Business Administration,1,Computer Science
17,Female,98.5,52.6,61.5,Computer Science,1,Business Administration
20,Female,90.8,52.4,76.7,Business Administration,1,Business Administration
19,Female,67.7,58.8,68.9,Business Administration,1,Business Administration
21,Female,72.1,88.1,72.0,Electronics,1,Electronics
21,Other,92.9,46.5,66.3,Computer Science,1,Business Administration
17,Female,53.4,98.0,87.1,Computer Science,1,Computer Science
19,Male,47.0,89.4,48.8,Computer Science,1,Business Administration
19,Female,89.7,59.7,97.2,Civil Engineering,1,Business Administration
19,Male,55.5,67.2,76.0,Artificial Intelligence and Machine Learning,1,Business Administration
18,Female,72.9,62.4,83.6,Business Administration,1,Biotechnology
16,Male,58.5,55.0,26.5,Computer Science,0,Not Admitted
21,Female,54.4,53.4,40.0,Computer Science,0,Not Admitted
20,Female,80.7,60.1,96.4,Civil Engineering,1,Biotechnology
20,Female,67.7,58.4,48.5,Computer Science,1,Business Administration
21,Female,63.5,50.0,27.5,Biotechnology,0,Not Admitted
20,Other,83.0,70.6,27.8,Electronics,0,Not Admitted
